,Date.Sampled,Address,HCluster,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,longitude,latitude
444,5/21/2021,"2470 E 74Th St, Chicago, IL",5,7.95,8.13,8.32,8.82,8.91,9.24,19.6,27.9,28.3,26.0,9.07,-87.56401599489867,41.760915000065125
445,8/29/2017,"2430 N Bernard St, Chicago, IL",5,6.4,10.9,11.6,11.4,11.7,17.7,18.2,25.5,27.6,26.7,26.0,-87.71368146492432,41.92568165
446,8/23/2021,"2426 N Fairfield Ave, Chicago, IL",2,6.47,7.65,6.35,5.67,5.15,4.63,4.11,4.22,3.96,3.98,2.94,-87.69649871863733,41.925693800000005
447,2/21/2020,"2437 N Lawndale Ave, Chicago, IL",1,16.0,26.4,16.2,11.0,4.08,3.1,7.05,9.0,5.7,3.26,0.5,-87.71935033315847,41.92547913622504
448,6/21/2021,"2452 N Monitor Ave, Chicago, IL",2,27.8,26.8,4.54,3.61,3.82,3.34,3.52,3.06,2.71,3.46,6.32,-87.77238096601681,41.92548535
450,9/21/2018,"2411 S Oakley Ave, Chicago, IL",4,25.6,26.1,20.6,15.3,14.2,13.5,12.8,6.65,11.7,11.3,7.46,-87.682977,41.848174
451,3/29/2022,"2474 S Ridgeway Ave, Chicago, IL",1,12.2,20.0,268.0,69.7,40.6,33.53,34.0,32.6,23.0,12.6,10.2,-87.71862700954682,41.84669027924672
454,12/7/2018,"2455 W Byron St, Chicago, IL",5,4.71,5.37,10.2,10.7,12.3,15.7,15.7,14.1,11.2,9.36,4.5,-87.6905427523779,41.95197175
456,10/6/2021,"2454 W Homer St, Chicago, IL",2,7.16,10.5,12.6,16.0,22.4,24.3,27.9,25.6,21.5,16.1,2.18,-87.68896892909196,41.91674015269514
458,10/15/2021,"2453 W Polk St, Chicago, IL",2,3.98,3.05,3.4,4.45,4.72,5.94,6.59,6.66,6.58,6.89,3.66,-87.68825984563001,41.870965
459,12/6/2021,"2487 W Superior St, Chicago, IL",2,2.18,2.57,3.11,3.52,4.39,4.08,3.77,5.46,14.4,20.0,2.36,-87.6889276300862,41.894720704602875
460,7/13/2021,"2517 E 81St St, Chicago, IL",1,3.78,4.22,5.44,6.16,8.06,10.6,13.6,14.4,13.5,12.1,11.1,-87.56293514318244,41.748055594877876
461,7/15/2021,"2570 E 93Rd St, Chicago, IL",2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-87.56135698902163,41.72637546354852
462,8/14/2018,"2544 E 96Th St, Chicago, IL",4,3.02,4.2,1.89,1.91,1.71,1.82,1.66,1.64,1.43,1.3,1.01,-87.56177538470584,41.7204020837379
463,3/30/2022,"2567 N Seminary Ave, Chicago, IL",3,24.0,7.24,5.56,5.22,4.76,4.53,4.39,4.12,3.74,3.4,2.79,-87.65625980060975,41.9287160182926
464,8/19/2016,"2576 N Central Park Ave, Chicago, IL",4,9.8,12.0,29.0,23.0,24.0,23.0,25.0,20.0,17.0,7.2,4.8,-87.7169709854493,41.92803150042588
468,11/23/2021,"2511 N Linden Pl, Chicago, IL",5,8.7,10.7,10.3,9.79,10.1,9.8,20.6,33.6,37.6,36.2,26.2,-87.70494685702883,41.92672915
469,7/28/2018,"2584 N Linden Pl, Chicago, IL",2,9.36,10.3,20.7,21.0,22.0,31.9,20.3,18.1,21.1,19.0,7.28,-87.70610601324562,41.92705369842105
470,10/27/2018,"2511 N Linden Pl, Chicago, IL",2,10.6,9.44,16.2,17.3,19.5,16.3,14.5,14.4,10.2,8.13,10.9,-87.70494685702883,41.92672915
472,1/28/2022,"2549 N Oak Park Ave, Chicago, IL",2,9.65,13.8,17.0,16.6,16.8,17.9,16.7,15.4,14.2,14.8,6.78,-87.79521502988534,41.92631444347876
473,1/27/2022,"2545 N Sheffield Ave, Chicago, IL",2,28.0,30.0,30.0,38.0,35.0,26.0,22.0,19.0,24.0,31.0,7.4,-87.65360432258065,41.9284445483871
474,4/8/2022,"2591 N Sheffield Ave, Chicago, IL",5,23.4,24.3,43.3,46.7,35.4,29.7,27.9,38.5,47.3,48.4,13.3,-87.65361767741936,41.928821451612905
475,8/21/2018,"2594 N Spaulding Ave, Chicago, IL",2,14.8,25.0,39.3,39.6,34.6,29.9,31.3,36.6,38.8,10.0,8.84,-87.71074756732719,41.92818671735014
476,4/15/2016,"2543 N St Louis Ave, Chicago, IL",2,4.84,4.76,4.36,4.29,3.99,3.86,4.17,6.04,10.6,12.8,17.3,-87.71437629890777,41.927698750000005
477,10/17/2019,"2526 N St Louis Ave, Chicago, IL",1,4.1,6.6,4.4,3.6,3.3,4.0,4.6,5.7,5.9,5.9,5.3,-87.71493949039296,41.927272849999994
478,12/4/2019,"2561 S Princeton Ave, Chicago, IL",2,5.9,7.7,9.9,3.7,11.0,13.0,17.0,24.0,32.0,31.0,27.0,-87.6345048747569,41.84578646042398
479,8/27/2019,"2583 W 109Th St, Chicago, IL",1,2.45,3.07,2.38,3.15,6.46,7.28,7.95,9.66,14.4,16.0,14.0,-87.68583236196787,41.69531178448439
480,11/8/2021,"2541 W 117Th St, Chicago, IL",5,3.68,2.92,3.01,3.41,3.2,3.19,3.15,3.42,3.43,3.42,8.44,-87.68495422372807,41.680774654507005
481,1/19/2017,"2547 W 45Th Pl, Chicago, IL",1,9.03,10.0,12.6,10.8,8.98,7.5,6.09,5.12,4.7,3.1,2.64,-87.68896148148148,41.81101285185186
482,7/18/2017,"2594 W 80Th Pl, Chicago, IL",4,8.53,10.3,14.1,17.4,16.0,15.1,14.5,16.7,17.4,17.4,8.92,-87.68797433333333,41.74737533333334
483,4/4/2018,"2576 W 80Th Pl, Chicago, IL",3,3.0,6.09,7.96,9.12,10.7,12.0,11.3,9.78,6.55,4.35,0.86,-87.68771573333333,41.74737953333333
484,11/8/2018,"2568 W Belden Ave, Chicago, IL",2,8.96,9.27,9.48,13.2,12.6,11.9,13.7,17.3,19.3,16.0,5.92,-87.6911723065306,41.923176033274494
486,10/10/2019,"2569 W Hutchinson St, Chicago, IL",1,6.37,8.93,13.4,18.5,19.7,18.4,16.5,12.3,9.91,8.4,7.73,-87.69327979332701,41.95846420375953
488,1/21/2022,"2633 E 79Th St, Chicago, IL",4,8.46,12.9,14.0,13.2,9.5,14.8,17.8,16.0,16.2,16.1,13.2,-87.5599335402581,41.75166795
490,4/1/2022,"2690 N Sacramento Ave, Chicago, IL",5,4.81,8.29,13.2,11.6,10.4,12.4,10.7,9.74,6.1,5.14,4.36,-87.702575917915,41.93004372029405
491,6/29/2017,"2664 N Seminary Ave, Chicago, IL",2,3.97,3.28,2.3,3.0,3.87,6.17,5.31,5.18,8.1,10.5,11.3,-87.65631626920583,41.930367504112695
492,6/23/2021,"2640 S Komensky Ave, Chicago, IL",2,3.03,2.52,4.28,4.85,5.45,5.74,5.38,5.9,6.59,5.78,6.61,-87.7259908527087,41.84302435
493,11/5/2019,"2666 W 104Th St, Chicago, IL",5,4.25,10.1,4.5,3.54,7.48,6.32,4.82,5.58,8.52,12.1,15.3,-87.68794396958528,41.704586
494,6/4/2021,"2646 W 24Th Pl, Chicago, IL",1,2.3,3.6,3.4,3.7,7.5,16.0,16.0,13.0,14.0,12.0,1.9,-87.69225942399817,41.8478242
495,10/19/2019,"2668 W 79Th Pl, Chicago, IL",2,6.92,16.3,13.2,9.84,9.82,10.3,9.68,10.0,9.73,9.43,7.97,-87.68867435714286,41.74918942857143
496,8/28/2019,"2676 W 83Rd Pl, Chicago, IL",2,6.31,6.1,6.36,6.21,6.66,7.17,7.32,6.1,6.68,10.4,13.7,-87.68926291990674,41.7418954573601
499,10/17/2019,"2688 W Wilson Ave, Chicago, IL",5,4.7,5.47,5.61,5.83,5.95,5.75,5.61,5.47,5.94,17.2,13.5,-87.69568263265306,41.96488263265306
501,11/3/2021,"2799 N Bosworth Ave, Chicago, IL",1,2.79,2.96,3.17,3.1,2.98,3.25,3.07,2.97,3.18,3.11,1.94,-87.667076,41.932298
506,12/30/2019,"2772 N Racine Ave, Chicago, IL",1,8.25,6.53,6.73,6.75,5.98,5.9,5.24,5.33,5.57,5.31,4.12,-87.65880700385839,41.93219010289049
507,2/10/2020,"2787 N Seminary Ave, Chicago, IL",5,13.8,13.9,12.7,20.2,32.6,38.3,40.6,35.8,32.8,32.3,6.88,-87.655731,41.93242685714286
508,11/9/2021,"2784 N Troy St, Chicago, IL",2,5.63,6.13,4.49,5.84,6.91,8.78,11.3,10.1,8.29,8.17,7.32,-87.70630157436783,41.93168444642277
509,5/20/2017,"2789 N Wayne Ave, Chicago, IL",3,4.14,3.82,4.96,7.45,7.19,7.12,7.18,7.1,8.05,7.61,4.2,-87.66245450000001,41.932329375
510,1/7/2020,"2717 N Whipple St, Chicago, IL",1,14.2,15.5,16.1,14.4,11.6,13.3,13.8,17.7,15.5,10.9,4.37,-87.70360329826399,41.930739000628506
511,2/28/2016,"2761 N Wilton Ave, Chicago, IL",2,4.43,4.15,13.3,22.6,25.2,21.4,18.4,16.5,15.2,12.8,9.38,-87.65249565158531,41.931648816371485
512,4/20/2017,"2763 N Wilton Ave, Chicago, IL",2,33.6,4.6,6.96,24.2,24.0,18.3,13.8,121.0,10.2,8.07,2.38,-87.65249640341065,41.93167151035851
513,1/17/2020,"2790 S Kildare Ave, Chicago, IL",2,3.41,3.69,3.94,4.04,4.76,4.99,4.85,4.22,3.78,5.55,3.0,-87.73186166176151,41.84072689396152
514,8/2/2021,"2765 W 15Th Pl, Chicago, IL",1,6.34,9.98,14.9,17.3,15.8,14.8,13.8,13.0,11.8,10.4,3.05,-87.69454685720233,41.86006616780958
515,6/29/2021,"2711 W 23Rd Pl, Chicago, IL",2,7.23,7.19,8.08,10.8,10.9,11.8,25.2,31.5,31.9,28.8,19.0,-87.69323598015012,41.84911700810846
517,4/11/2022,"2751 W Farwell Ave, Chicago, IL",2,22.3,25.7,29.8,33.5,38.0,39.9,38.3,35.2,31.3,26.2,19.4,-87.69937335088031,42.00556275
518,9/11/2019,"2756 W LeXington St, Chicago, IL",3,15.7,24.7,29.5,36.3,38.0,41.0,39.7,39.8,32.3,26.4,23.4,-87.69463785246256,41.8720689960906
519,2/4/2020,"2751 W LeXington St, Chicago, IL",3,4.4,6.0,16.7,16.9,15.7,14.5,12.8,11.5,11.1,10.2,3.72,-87.69454198448554,41.871905841852396
522,4/6/2022,"2786 W Lunt Ave, Chicago, IL",1,7.17,8.41,13.2,22.0,15.7,13.7,13.5,13.9,15.8,16.1,14.2,-87.69935564671425,42.00855182577687
523,10/7/2019,"2779 W Morse Ave, Chicago, IL",3,12.3,2.67,2.42,2.5,267.0,2.42,2.92,9.71,11.41,10.0,3.23,-87.69920665121087,42.00658506581862
524,7/27/2021,"2748 W Nelson St, Chicago, IL",5,5.75,8.06,10.7,10.7,13.4,22.7,56.7,169.0,89.6,41.7,24.7,-87.696989,41.936744
525,8/20/2019,"2763 W Wilson Ave, Chicago, IL",2,11.6,26.2,18.2,14.5,17.0,24.0,52.7,70.0,42.0,29.7,20.6,-87.69851361576363,41.9645742
526,11/13/2019,"2898 N Lawndale, Chicago, IL",3,4.4,6.0,16.7,16.9,15.7,14.5,12.8,11.5,11.1,10.2,3.72,-87.7183883,41.8600324
528,1/21/2022,"2874 N Richmond St, Chicago, IL",3,3.32,4.56,6.08,11.6,7.45,5.82,5.79,5.96,7.65,8.1,8.07,-87.7014448002672,41.933449031692604
529,11/2/2016,"2859 N Ridgeway Ave, Chicago, IL",2,5.83,6.07,7.26,9.13,9.59,12.8,20.4,22.8,20.4,16.2,15.9,-87.72077746127557,41.933034372770216
534,9/20/2021,"2873 S Poplar Ave, Chicago, IL",2,3.5,3.8,3.8,4.8,4.2,3.8,34.0,2.7,2.1,1.5,1.1,-87.649903,41.841653
535,10/25/2021,"2858 W 103rd Pl, Chicago, IL",4,7.18,13.2,15.2,14.9,15.0,15.9,16.8,15.9,14.0,10.1,7.05,-87.6258729,41.7062288
536,6/4/2021,"2824 W 38Th St, Chicago, IL",2,0.5,2.36,1.97,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-87.69602913749443,41.824667900662284
537,10/29/2021,"2891 W Balmoral Ave, Chicago, IL",1,6.07,6.75,5.76,5.56,4.84,4.47,4.22,4.18,4.03,3.59,4.09,-87.70118504043295,41.979374757512836
538,9/6/2019,"2849 W Chase Ave, Chicago, IL",3,3.49,4.48,5.71,5.09,4.78,4.75,15.0,5.98,18.5,17.6,14.6,-87.70201982524102,42.01355905
541,6/10/2021,"2816 W Division St, Chicago, IL",2,6.0,7.6,6.6,7.4,12.0,17.0,20.0,21.0,21.0,21.0,3.6,-87.69757185759666,41.90300147454045
543,11/30/2021,"2832 W Eastwood Ave, Chicago, IL",4,3.6,4.5,3.7,4.9,6.2,6.0,5.0,9.5,9.8,9.2,7.3,-87.69963361788146,41.965879799999996
545,9/14/2021,"2844 W Greenleaf Ave, Chicago, IL",3,5.92,4.85,5.82,6.01,6.07,5.65,7.6,9.73,10.0,10.4,12.1,-87.70084570338514,42.00942117619273
546,3/29/2022,"2861 W Gregory St, Chicago, IL",2,42.8,20.4,18.6,16.6,12.9,11.5,9.41,8.96,8.66,9.0,2.39,-87.70081263293818,41.98211653644643
549,7/16/2021,"2821 W Rascher Ave, Chicago, IL",1,13.9,13.8,12.6,12.2,19.2,32.4,29.4,24.8,25.1,29.5,9.32,-87.69996749424413,41.980175450000004
550,9/24/2021,"2929 E 101St St, Chicago, IL",2,8.2,9.45,8.76,9.28,9.35,9.43,9.71,8.99,9.16,9.13,9.44,-87.55144257142858,41.711759
551,5/21/2021,"2994 E 89Th St, Chicago, IL",2,6.81,9.05,12.0,13.0,13.4,14.8,21.8,29.0,29.1,30.0,23.9,-87.55222635079245,41.733801685352965
552,9/30/2021,"2940 N Woodard St, Chicago, IL",2,5.72,10.1,16.5,16.9,17.5,17.9,17.0,14.2,14.0,13.2,8.08,-87.71029175759149,41.9349268
553,2/9/2022,"2937 N Burling St, Chicago, IL",2,7.24,4.42,6.22,6.47,6.31,6.96,13.1,18.2,17.7,18.4,15.9,-87.64770821857661,41.93486513892627
554,2/3/2022,"2981 N Kildare Ave, Chicago, IL",2,4.3,5.2,18.0,21.0,19.0,17.0,15.0,13.0,11.0,11.0,9.6,-87.73477440825424,41.93501450278603
556,11/17/2020,"2924 N Luna Ave, Chicago, IL",3,6.9,13.0,7.2,6.4,7.0,7.3,8.2,12.0,13.0,14.0,11.0,-87.76539621937269,41.933929199999994
558,7/30/2021,"2936 N Nora Ave, Chicago, IL",2,6.56,11.0,22.8,21.6,21.3,23.6,23.4,20.5,15.2,7.58,5.39,-87.8021010542821,41.933319283562234
561,9/21/2021,"2922 N Richmond St, Chicago, IL",5,3.3,7.7,8.8,9.1,9.1,6.4,4.8,4.5,5.1,5.2,1.5,-87.70189960058141,41.934638449999994
562,10/5/2021,"2994 N Sacramento Ave, Chicago, IL",2,8.7,19.0,15.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,19.0,-87.70249833155276,41.93556749560934
567,10/15/2016,"2934 N Troy St, Chicago, IL",1,2.36,7.13,9.92,8.11,9.03,10.5,9.76,8.86,9.08,8.98,6.07,-87.70637740629994,41.934534829947545
570,7/23/2021,"2981 S Haynes Ct, Chicago, IL",2,33.8,28.3,16.8,26.3,24.6,18.5,16.9,17.6,18.3,19.5,5.11,-87.65690678571428,41.839517
571,10/7/2019,"2972 W 39Th Pl, Chicago, IL",2,2.87,2.29,1.92,1.55,1.57,1.67,2.5,4.1,4.78,4.68,1.51,-87.69883649535049,41.82188127643814
572,12/16/2021,"2917 W Balmoral Ave, Chicago, IL",2,4.1,2.7,2.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,-87.7022487996954,41.97936834895925
573,9/15/2018,"2929 W Belden Ave, Chicago, IL",2,3.66,5.23,8.14,9.21,9.46,10.9,11.0,10.6,10.6,10.3,3.04,-87.70104285044232,41.9230522
575,10/6/2016,"2996 W Catalpa Ave, Chicago, IL",5,5.58,11.0,11.8,13.8,12.6,11.1,11.6,12.5,10.3,8.43,4.24,-87.7042869790454,41.981346251260256
576,2/24/2017,"2996 W Catalpa Ave, Chicago, IL",2,19.8,14.9,13.7,9.66,8.59,8.27,7.04,8.7,8.87,7.71,5.34,-87.7042869790454,41.981346251260256
578,12/15/2021,"2918 W Giddings St, Chicago, IL",3,10.1,10.5,10.1,9.73,8.1,9.64,10.4,8.56,6.09,5.17,4.46,-87.7016868028459,41.967852050000005
579,8/15/2019,"2942 W Giddings St, Chicago, IL",2,4.95,4.13,12.8,17.7,17.6,17.8,16.1,14.7,14.1,13.0,10.0,-87.70167942423983,41.96767685242033
580,9/22/2021,"2946 W Leland Ave, Chicago, IL",2,9.12,8.79,21.3,19.3,19.6,16.3,15.9,15.1,15.4,15.9,2.3,-87.70238578792605,41.966757239684455
582,3/24/2022,"2958 W Pratt Blvd, Chicago, IL",3,2.04,3.01,3.27,3.28,4.08,5.11,3.48,5.32,9.07,9.91,9.59,-87.70393612386276,42.004851177369865
584,10/20/2021,"294 E 87Th St, Chicago, IL",3,9.56,8.85,17.8,28.0,29.0,27.9,27.2,25.6,23.6,21.3,15.8,-87.61797944521683,41.7365329978621
585,9/5/2019,"215 E 90Th Pl, Chicago, IL",3,16.0,17.0,18.0,18.0,27.0,34.0,45.0,47.0,47.0,48.0,36.0,-87.6183018389053,41.72988665
586,3/10/2022,"3093 E 79Th Pl, Chicago, IL",2,9.85,9.77,10.2,10.3,10.5,10.9,10.7,26.5,34.1,35.2,6.9,-87.54953471198561,41.75096435122242
587,7/28/2021,"3056 N Christiana Ave, Chicago, IL",2,8.34,12.3,11.7,10.8,9.96,8.81,7.72,6.69,5.75,4.31,3.39,-87.71130611310693,41.93668229824104
589,11/18/2021,"3065 N Kenneth Ave, Chicago, IL",2,5.6,6.5,7.1,7.9,7.4,7.3,13.0,15.0,15.0,14.0,13.0,-87.73807295752754,41.93645154146248
591,1/25/2022,"3019 N Linder Ave, Chicago, IL",2,5.01,5.88,5.53,4.48,4.07,8.12,17.8,19.9,19.1,15.6,2.51,-87.7636588,41.93558575
592,1/17/2020,"3017 N Lowell Ave, Chicago, IL",3,3.71,4.07,4.61,4.7,5.56,10.8,14.1,14.5,14.6,14.0,3.93,-87.73563286610786,41.9358981
593,8/3/2021,"3060 N Mango Ave, Chicago, IL",2,10.2,20.0,19.6,16.0,14.9,12.3,10.4,7.56,5.68,5.22,4.92,-87.77016213003142,41.93596514169513
596,8/14/2018,"3018 S Farrell St, Chicago, IL",1,6.3,18.0,6.9,7.1,7.0,7.1,6.8,21.0,20.0,15.0,16.0,-87.6517042490618,41.839061634439375
597,5/31/2018,"3026 W Belden Ave, Chicago, IL",2,2.83,2.82,3.03,3.32,3.46,3.82,4.13,4.52,4.48,4.14,3.82,-87.70340119882934,41.92354520000001
598,2/5/2020,"3087 W Chase Ave, Chicago, IL",2,5.61,7.02,5.79,5.71,6.39,5.55,5.08,3.96,3.06,2.6,1.03,-87.70636193660182,42.013652660531775
600,6/2/2021,"3036 W Fulton Blvd, Chicago, IL",1,5.06,2.09,4.33,4.33,4.49,8.8,7.32,6.02,5.9,6.86,3.94,-87.7038233,41.8864529
601,9/18/2017,"3058 W Warren Blvd, Chicago, IL",5,5.57,7.37,12.4,13.8,14.5,14.4,14.5,15.8,15.2,12.1,11.6,-87.6693297,41.8823549
602,12/17/2021,"3118 N Bernard St, Chicago, IL",3,6.63,17.5,20.7,27.3,27.6,26.0,24.7,23.1,20.5,20.4,12.9,-87.71395818974963,41.9380447
603,12/6/2021,"3155 N Clifton Ave, Chicago, IL",1,4.7,4.94,5.62,7.46,12.4,15.6,15.2,14.1,14.0,10.8,5.26,-87.657853625,41.93955014583334
604,10/1/2019,"3120 N Oconto Ave, Chicago, IL",5,26.5,14.7,7.33,6.8,5.91,5.77,5.21,5.12,4.82,4.51,3.33,-87.80821859249806,41.93698975
605,9/15/2016,"3129 N Osceola Ave, Chicago, IL",5,21.8,17.4,15.4,15.3,20.7,28.2,28.5,26.2,24.3,16.8,20.5,-87.81269577370415,41.93664715940656
606,12/7/2019,"3151 N Richmond St, Chicago, IL",3,25.2,32.0,32.2,40.0,94.8,88.0,99.6,98.8,101.0,99.6,89.4,-87.70135445022771,41.937998890696086
609,9/22/2018,"3147 S Kedvale Ave, Chicago, IL",3,7.53,13.3,13.3,12.5,11.6,10.5,10.1,9.0,9.69,13.7,15.0,-87.72770655716982,41.83547275
610,3/9/2020,"3169 S Pulaski Rd, Chicago, IL",5,1.71,2.97,3.18,3.5,3.08,6.04,8.64,9.91,10.1,9.01,6.94,-87.72421083302082,41.83558463298104
611,8/29/2019,"3116 W 103rd St, Chicago, IL",1,5.1,6.9,6.7,9.0,13.0,14.0,16.0,19.0,25.0,25.0,4.4,-87.69964980538782,41.70628093893951
612,11/5/2016,"3164 W 103rd St, Chicago, IL",4,4.4,5.53,5.4,5.36,5.39,5.2,4.05,9.25,19.8,24.0,3.58,-87.70047149652358,41.706275665821124
613,2/24/2020,"3154 W Jarlath St, Chicago, IL",2,2.89,2.19,3.75,3.34,3.21,3.38,2.97,3.83,5.1,11.1,12.9,-87.70780519244595,42.01287773242485
615,9/10/2021,"3299 N Avers Ave, Chicago, IL",5,9.79,10.1,9.24,15.9,14.0,13.3,16.0,9.35,5.11,4.64,3.8,-87.723446,41.940383
616,10/8/2019,"3298 N Nottingham Ave, Chicago, IL",5,7.34,15.8,35.7,33.7,19.6,16.7,16.2,17.5,16.2,15.2,7.47,-87.804439,41.939725
617,9/1/2021,"3292 N Oketo Ave, Chicago, IL",2,12.1,20.6,24.8,24.1,22.6,12.2,21.7,29.5,33.0,22.2,20.0,-87.8115279122034,41.93952840254258
618,1/15/2020,"3260 N Plainfield Ave, Chicago, IL",3,8.33,19.4,21.7,17.3,14.5,13.4,13.7,9.77,8.23,13.2,3.21,-87.8337901974545,41.93879399814447
619,10/30/2019,"3255 S Carpenter, Chicago, IL",3,9.42,9.61,11.0,28.6,11.0,10.9,16.9,43.8,31.3,25.3,11.7,-87.7652474,41.9934168
620,7/16/2016,"3240 S Carpenter St, Chicago, IL",1,5.42,7.0,7.52,7.67,8.3,20.2,21.4,19.6,17.6,18.8,16.4,-87.65250250595027,41.83470265
621,8/10/2018,"3235 S Lituanica Ave, Chicago, IL",2,10.2,10.1,24.4,27.9,32.1,23.4,24.5,24.6,20.4,17.1,2.95,-87.6485334697081,41.835381833945284
622,8/27/2019,"3226 S Lowe Ave, Chicago, IL",3,4.27,6.14,7.16,13.2,14.0,11.6,9.96,8.56,6.4,6.88,5.88,-87.64282004811764,41.835457500000004
624,12/10/2021,"3211 S Union Ave, Chicago, IL",2,4.9,6.86,7.12,6.35,6.38,7.04,10.1,14.0,15.6,23.4,6.26,-87.64348919781321,41.835865
626,9/13/2021,"3281 W 84Th Pl, Chicago, IL",1,3.68,4.04,3.22,2.96,3.51,3.75,6.98,7.27,9.62,11.0,1.27,-87.70411103557261,41.739640269633966
628,1/30/2020,"3316 N Kilpatrick Ave, Chicago, IL",4,7.17,10.6,9.69,9.29,8.4,8.53,14.8,17.9,17.8,15.1,3.31,-87.74422115186046,41.94125715
630,12/1/2021,"3362 N Newland Ave, Chicago, IL",2,12.4,13.7,7.35,5.98,5.63,5.7,5.45,5.4,5.35,5.35,5.16,-87.79961320708195,41.94103459149557
632,3/18/2020,"3373 N Olcott Ave, Chicago, IL",2,7.41,6.82,10.6,10.0,12.9,15.4,15.5,12.9,10.8,9.89,6.66,-87.81406994320459,41.94088475493982
634,9/20/2021,"3373 N Plainfield Ave, Chicago, IL",1,3.55,5.99,5.19,5.35,5.61,5.55,5.54,6.84,14.7,19.8,17.3,-87.83365128623623,41.94085040864616
636,3/7/2019,"3345 N Ridgeway Ave, Chicago, IL",3,6.32,10.6,13.7,20.6,13.4,16.7,16.7,16.1,17.3,16.0,12.6,-87.7209140236111,41.9423484
637,5/18/2021,"3396 S Calumet Ave, Chicago, IL",2,3.75,4.99,4.99,4.78,5.32,6.76,5.67,4.37,3.96,3.79,1.75,-87.61827533504771,41.833244757528625
638,3/21/2022,"3357 S Lowe Ave, Chicago, IL",2,3.68,4.4,6.21,7.14,8.25,15.0,18.9,18.8,21.8,22.4,19.7,-87.6422049,41.832835849999995
639,9/27/2021,"3342 S May St, Chicago, IL",5,5.2,6.2,7.3,7.3,7.6,7.8,8.8,9.9,12.0,12.0,5.5,-87.65480558769121,41.833934054082675
640,5/14/2019,"3318 S Paulina St, Chicago, IL",2,3.46,4.36,4.57,4.67,4.82,4.93,5.0,5.04,4.48,4.12,3.27,-87.66812542204435,41.833016615640936
642,9/9/2016,"3454 N Avers Ave, Chicago, IL",1,8.1,8.9,10.0,11.0,17.0,16.0,18.0,18.0,20.0,25.0,15.0,-87.72394704999999,41.94440485
643,5/31/2017,"3463 N Hamilton Ave, Chicago, IL",2,7.97,10.3,17.4,25.1,22.6,21.2,19.5,19.9,20.0,21.4,20.1,-87.68201645365465,41.94446765758504
645,1/26/2017,"3414 N Kildare Ave, Chicago, IL",2,3.26,4.24,5.28,5.1,4.95,4.73,13.1,14.8,10.8,8.91,8.41,-87.73479863279239,41.942983311695905
647,8/1/2021,"3466 N Neva Ave, Chicago, IL",4,9.4,18.0,21.0,20.0,17.0,15.0,13.0,11.0,9.4,7.6,5.7,-87.80579249397653,41.94282934367649
648,3/11/2017,"3492 N Opal Ave, Chicago, IL",1,8.8,19.0,19.0,7.9,7.9,12.0,13.0,12.0,11.0,14.0,8.2,-87.82294267478453,41.942904554037234
649,5/20/2017,"3450 N Pacific Ave, Chicago, IL",1,4.27,4.82,4.73,4.46,5.09,5.02,5.36,5.37,5.49,5.67,17.4,-87.82681175506497,41.942595499999996
650,8/24/2017,"3412 N Pacific Ave, Chicago, IL",1,9.43,12.5,20.4,10.8,14.6,25.0,17.1,14.6,14.4,15.6,23.4,-87.82679941365555,41.941615049999996
652,9/13/2018,"3484 N Pacific Ave, Chicago, IL",2,0.5,13.6,1.3,3.4,2.66,2.75,2.26,0.5,0.5,0.5,0.5,-87.82664801747909,41.9426948758005
653,11/21/2018,"3426 N Pacific Ave, Chicago, IL",3,4.42,5.05,5.58,9.78,18.7,20.9,20.2,18.7,15.6,13.4,13.1,-87.82660421232836,41.941716569692765
654,12/17/2018,"3450 N Pacific Ave, Chicago, IL",3,15.6,45.6,40.0,43.8,42.5,37.8,33.3,26.6,25.3,22.2,21.2,-87.82681175506497,41.942595499999996
655,3/25/2019,"3441 N Pacific Ave, Chicago, IL",2,13.0,16.4,17.4,19.7,21.4,30.0,28.9,29.8,30.3,29.0,18.7,-87.82639472998267,41.94195767020086
656,12/19/2019,"3445 N Panama Ave, Chicago, IL",2,7.39,4.94,5.44,6.4,8.96,11.2,11.0,12.2,13.6,14.1,21.4,-87.82884979681914,41.942394534468576
657,9/30/2019,"3448 N Tripp Ave, Chicago, IL",2,7.11,9.32,12.9,23.9,30.0,19.5,17.8,12.0,14.7,13.8,3.68,-87.73378352144039,41.9440911
658,10/1/2021,"3414 N Tripp Ave, Chicago, IL",5,11.8,16.5,19.2,35.9,30.7,22.6,26.7,28.4,28.0,25.4,21.5,-87.73376446678782,41.943198949999996
659,6/9/2021,"3416 N Tripp Ave, Chicago, IL",5,14.6,17.4,17.5,24.3,22.1,26.4,29.9,28.5,28.7,28.2,25.3,-87.73357144438582,41.943016478295476
660,1/31/2020,"3499 S Aberdeen St, Chicago, IL",4,11.1,13.2,14.4,13.3,13.6,13.8,16.6,19.6,23.2,23.4,16.4,-87.653325,41.832135
