,Date.Sampled,Address,HCluster,longitude,latitude
363,8/27/2021,"187 N Lorel Ave, Chicago, IL",2,-87.75877487148158,41.88442081837258
364,6/2/2021,"193 S Homan Ave, Chicago, IL",2,-87.710831,41.87885202980288
365,3/7/2020,"2037 E 73Rd St, Chicago, IL",2,-87.57479032432433,41.76244964864865
366,4/30/2021,"2074 E 99Th St, Chicago, IL",3,-87.57289509090909,41.71533054545455
367,12/16/2016,"2072 N Bissell St, Chicago, IL",2,-87.65230524109869,41.91946219602241
368,5/4/2017,"2096 N Bissell St, Chicago, IL",1,-87.65231609402271,41.919789707434234
370,3/25/2022,"2026 N Kenmore Ave, Chicago, IL",4,-87.65511148191132,41.91882535
371,11/8/2021,"2052 N New England Ave, Chicago, IL",5,-87.79757998366264,41.91745486537607
372,11/16/2021,"2037 N Sheffield Ave, Chicago, IL",1,-87.65312599999999,41.91921925
374,12/3/2021,"2077 W 21St St, Chicago, IL",4,-87.67770129825605,41.853903152882054
375,4/8/2017,"2049 W 21St St, Chicago, IL",4,-87.67780011603148,41.85375045
377,9/29/2017,"2074 W Berwyn Ave, Chicago, IL",2,-87.68129529059728,41.97790555466757
378,2/4/2019,"2080 W Bradley Pl, Chicago, IL",2,-87.68050656911262,41.94965679763134
379,2/8/2020,"2037 W Bradley Pl, Chicago, IL",5,-87.68018484631777,41.94938145
380,7/13/2021,"2019 W Chase Ave, Chicago, IL",4,-87.68134072421876,42.01384055
383,2/28/2017,"2085 W Evergreen Ave, Chicago, IL",2,-87.6795142988247,41.90589307701792
384,2/28/2017,"2080 W Lunt Ave, Chicago, IL",2,-87.68332102096588,42.0091787
386,2/2/2022,"2028 W Ohio St, Chicago, IL",2,-87.6781852852324,41.89246325
388,10/22/2021,"2088 W Thomas St, Chicago, IL",2,-87.6788340232136,41.90142232336736
389,10/17/2018,"2017 W Willow St, Chicago, IL",2,-87.67819657394045,41.91374098419356
390,2/27/2020,"2198 E 96Th St, Chicago, IL",1,-87.571173,41.720755
391,3/25/2017,"2110 N Hudson Ave, Chicago, IL",2,-87.64024775,41.9204713
394,3/29/2022,"2186 S Drake Ave, Chicago, IL",2,-87.71375186751429,41.85234689141719
395,12/3/2016,"2170 W 110Th Pl, Chicago, IL",1,-87.67627827774646,41.693109484944294
396,1/7/2017,"2142 W 110Th Pl, Chicago, IL",2,-87.6760984,41.69326685
397,3/24/2017,"2148 W 110Th St, Chicago, IL",1,-87.67609559581447,41.69432515
398,7/2/2019,"2135 W 115Th St, Chicago, IL",3,-87.67516548293735,41.68396909744374
399,7/30/2021,"2180 W 118Th St, Chicago, IL",4,-87.67608209940809,41.67946595
400,2/1/2022,"2166 W 19Th St, Chicago, IL",2,-87.67999079430302,41.85587199600675
401,5/17/2021,"2195 W 66Th St, Chicago, IL",2,-87.67724223781988,41.773765169903456
402,2/3/2020,"2112 W 75Th Pl, Chicago, IL",1,-87.67619353031932,41.7571277
403,4/6/2019,"2124 W 82Nd Pl, Chicago, IL",2,-87.67704535288497,41.74429945
404,4/14/2016,"2158 W Belle Plaine Ave, Chicago, IL",1,-87.68288475839798,41.95600606901577
405,1/25/2022,"2171 W Erie St, Chicago, IL",2,-87.68109971203248,41.893029572245034
406,12/16/2021,"2164 W Greenleaf Ave, Chicago, IL",1,-87.68531880344865,42.01011120520319
407,3/18/2020,"2141 W Lunt Ave, Chicago, IL",1,-87.6848329174083,42.00875129456537
408,1/27/2017,"2149 W Pensacola Ave, Chicago, IL",4,-87.68190532843911,41.96041424420262
410,7/14/2017,"2268 N Campbell Ave, Chicago, IL",3,-87.68944555697648,41.92289952789831
412,9/6/2019,"2252 N Kildare Ave, Chicago, IL",5,-87.73430670620283,41.92227645
413,2/28/2022,"2216 N Lakewood Ave, Chicago, IL",2,-87.66089851429125,41.92227929573474
414,10/28/2016,"2263 N Lakewood Ave, Chicago, IL",1,-87.66069932988623,41.92291494137538
415,5/10/2018,"2261 N Lakewood Ave, Chicago, IL",1,-87.66069857730925,41.92289210455682
416,11/17/2018,"2224 N Lawndale Ave, Chicago, IL",3,-87.71968673581617,41.921701
417,4/4/2022,"2218 N Magnolia Ave, Chicago, IL",2,-87.65989019792231,41.92227185
419,3/28/2022,"2259 N Rockwell Ave, Chicago, IL",3,-87.694916,42.0176244
420,11/15/2021,"2287 W 110Th Pl, Chicago, IL",2,-87.67898459917879,41.692894422291076
421,5/19/2021,"2261 W 69Th St, Chicago, IL",2,-87.68029766771149,41.768284410739206
422,1/28/2017,"2285 W Berwyn Ave, Chicago, IL",2,-87.68644696902462,41.97766756330701
423,8/24/2021,"2227 W Birchwood Ave, Chicago, IL",5,-87.68760493877551,42.01749165306123
424,10/20/2016,"2262 W Estes Ave, Chicago, IL",4,-87.68733685915569,42.01113425160099
426,2/8/2020,"2226 W Leland Ave, Chicago, IL",4,-87.68478122328897,41.966917402129894
429,10/28/2016,"2255 W Shakespeare Ave, Chicago, IL",4,-87.6847918,41.92057764
431,3/9/2022,"2277 W Winnemac Ave, Chicago, IL",3,-87.68611086709814,41.972996795508614
432,11/30/2021,"2379 N Lakewood Ave, Chicago, IL",4,-87.6607502200713,41.92446104808887
433,2/18/2020,"2318 N Monticello Ave, Chicago, IL",3,-87.71845609941444,41.9233891
434,7/19/2021,"2390 N Normandy Ave, Chicago, IL",1,-87.7924976343887,41.922967300438
435,2/19/2020,"2391 N Rutherford Ave, Chicago, IL",3,-87.79368171859558,41.92296099505851
436,3/19/2019,"2350 S Marshall Blvd, Chicago, IL",2,-87.69912015140932,41.84912951078293
437,2/24/2022,"2354 W 107Th St, Chicago, IL",2,-87.68067167416056,41.69914571819176
438,7/13/2021,"2338 W 110Th St, Chicago, IL",2,-87.67965895141508,41.69407689908183
439,9/15/2016,"2381 W 110Th St, Chicago, IL",3,-87.68063519054562,41.69389414212835
440,8/3/2021,"2313 W 116Th Pl, Chicago, IL",4,-87.67938673941897,41.681799750961915
441,11/26/2019,"2350 W 35Th Pl, Chicago, IL",2,-87.68314964928229,41.82938861187714
442,10/14/2021,"2369 W 80Th St, Chicago, IL",3,-87.68154585626016,41.74822713364698
443,4/1/2022,"2350 W Iowa St, Chicago, IL",2,-87.68560671327008,41.89766517967291
444,5/21/2021,"2470 E 74Th St, Chicago, IL",5,-87.56401599489867,41.760915000065125
445,8/29/2017,"2430 N Bernard St, Chicago, IL",5,-87.71368146492432,41.92568165
446,8/23/2021,"2426 N Fairfield Ave, Chicago, IL",2,-87.69649871863733,41.925693800000005
447,2/21/2020,"2437 N Lawndale Ave, Chicago, IL",1,-87.71935033315847,41.92547913622504
448,6/21/2021,"2452 N Monitor Ave, Chicago, IL",2,-87.77238096601681,41.92548535
449,10/7/2019,"2424 S Lawndale Ave, Chicago, IL",2,-87.71742703994815,41.84749725011778
450,9/21/2018,"2411 S Oakley Ave, Chicago, IL",4,-87.682977,41.848174
451,3/29/2022,"2474 S Ridgeway Ave, Chicago, IL",1,-87.71862700954682,41.84669027924672
453,2/28/2020,"2446 W Berteau Ave, Chicago, IL",1,-87.69044774874459,41.9578561
454,12/7/2018,"2455 W Byron St, Chicago, IL",5,-87.6905427523779,41.95197175
456,10/6/2021,"2454 W Homer St, Chicago, IL",2,-87.68896892909196,41.91674015269514
458,10/15/2021,"2453 W Polk St, Chicago, IL",2,-87.68825984563001,41.870965
459,12/6/2021,"2487 W Superior St, Chicago, IL",2,-87.6889276300862,41.894720704602875
460,7/13/2021,"2517 E 81St St, Chicago, IL",1,-87.56293514318244,41.748055594877876
461,7/15/2021,"2570 E 93Rd St, Chicago, IL",2,-87.56135698902163,41.72637546354852
462,8/14/2018,"2544 E 96Th St, Chicago, IL",4,-87.56177538470584,41.7204020837379
463,3/30/2022,"2567 N Seminary Ave, Chicago, IL",3,-87.65625980060975,41.9287160182926
464,8/19/2016,"2576 N Central Park Ave, Chicago, IL",4,-87.7169709854493,41.92803150042588
465,10/8/2021,"2570 N Harding Ave, Chicago, IL",2,-87.72575764033155,41.927903853040775
466,9/29/2021,"2516 N Harding Ave, Chicago, IL",2,-87.72587608591772,41.926865649999996
468,11/23/2021,"2511 N Linden Pl, Chicago, IL",5,-87.70494685702883,41.92672915
469,7/28/2018,"2584 N Linden Pl, Chicago, IL",2,-87.70610601324562,41.92705369842105
470,10/27/2018,"2511 N Linden Pl, Chicago, IL",2,-87.70494685702883,41.92672915
472,1/28/2022,"2549 N Oak Park Ave, Chicago, IL",2,-87.79521502988534,41.92631444347876
473,1/27/2022,"2545 N Sheffield Ave, Chicago, IL",2,-87.65360432258065,41.9284445483871
474,4/8/2022,"2591 N Sheffield Ave, Chicago, IL",5,-87.65361767741936,41.928821451612905
475,8/21/2018,"2594 N Spaulding Ave, Chicago, IL",2,-87.71074756732719,41.92818671735014
476,4/15/2016,"2543 N St Louis Ave, Chicago, IL",2,-87.71437629890777,41.927698750000005
477,10/17/2019,"2526 N St Louis Ave, Chicago, IL",1,-87.71493949039296,41.927272849999994
478,12/4/2019,"2561 S Princeton Ave, Chicago, IL",2,-87.6345048747569,41.84578646042398
479,8/27/2019,"2583 W 109Th St, Chicago, IL",1,-87.68583236196787,41.69531178448439
480,11/8/2021,"2541 W 117Th St, Chicago, IL",5,-87.68495422372807,41.680774654507005
481,1/19/2017,"2547 W 45Th Pl, Chicago, IL",1,-87.68896148148148,41.81101285185186
482,7/18/2017,"2594 W 80Th Pl, Chicago, IL",4,-87.68797433333333,41.74737533333334
483,4/4/2018,"2576 W 80Th Pl, Chicago, IL",3,-87.68771573333333,41.74737953333333
484,11/8/2018,"2568 W Belden Ave, Chicago, IL",2,-87.6911723065306,41.923176033274494
486,10/10/2019,"2569 W Hutchinson St, Chicago, IL",1,-87.69327979332701,41.95846420375953
487,7/22/2016,"2585 W Jarvis Ave, Chicago, IL",5,-87.69447141552106,42.01573165963151
488,1/21/2022,"2633 E 79Th St, Chicago, IL",4,-87.5599335402581,41.75166795
490,4/1/2022,"2690 N Sacramento Ave, Chicago, IL",5,-87.702575917915,41.93004372029405
491,6/29/2017,"2664 N Seminary Ave, Chicago, IL",2,-87.65631626920583,41.930367504112695
492,6/23/2021,"2640 S Komensky Ave, Chicago, IL",2,-87.7259908527087,41.84302435
493,11/5/2019,"2666 W 104Th St, Chicago, IL",5,-87.68794396958528,41.704586
494,6/4/2021,"2646 W 24Th Pl, Chicago, IL",1,-87.69225942399817,41.8478242
495,10/19/2019,"2668 W 79Th Pl, Chicago, IL",2,-87.68867435714286,41.74918942857143
496,8/28/2019,"2676 W 83Rd Pl, Chicago, IL",2,-87.68926291990674,41.7418954573601
498,2/1/2022,"2676 W Wilson Ave, Chicago, IL",2,-87.69543259183673,41.964884591836736
499,10/17/2019,"2688 W Wilson Ave, Chicago, IL",5,-87.69568263265306,41.96488263265306
500,3/3/2022,"2648 W Windsor Ave, Chicago, IL",2,-87.69441562723989,41.96403709825279
501,11/3/2021,"2799 N Bosworth Ave, Chicago, IL",1,-87.667076,41.932298
506,12/30/2019,"2772 N Racine Ave, Chicago, IL",1,-87.65880700385839,41.93219010289049
507,2/10/2020,"2787 N Seminary Ave, Chicago, IL",5,-87.655731,41.93242685714286
508,11/9/2021,"2784 N Troy St, Chicago, IL",2,-87.70630157436783,41.93168444642277
509,5/20/2017,"2789 N Wayne Ave, Chicago, IL",3,-87.66245450000001,41.932329375
510,1/7/2020,"2717 N Whipple St, Chicago, IL",1,-87.70360329826399,41.930739000628506
511,2/28/2016,"2761 N Wilton Ave, Chicago, IL",2,-87.65249565158531,41.931648816371485
512,4/20/2017,"2763 N Wilton Ave, Chicago, IL",2,-87.65249640341065,41.93167151035851
513,1/17/2020,"2790 S Kildare Ave, Chicago, IL",2,-87.73186166176151,41.84072689396152
514,8/2/2021,"2765 W 15Th Pl, Chicago, IL",1,-87.69454685720233,41.86006616780958
515,6/29/2021,"2711 W 23Rd Pl, Chicago, IL",2,-87.69323598015012,41.84911700810846
517,4/11/2022,"2751 W Farwell Ave, Chicago, IL",2,-87.69937335088031,42.00556275
518,9/11/2019,"2756 W LeXington St, Chicago, IL",3,-87.69463785246256,41.8720689960906
519,2/4/2020,"2751 W LeXington St, Chicago, IL",3,-87.69454198448554,41.871905841852396
520,3/31/2019,"2762 W Logan Blvd, Chicago, IL",2,-87.69685583385984,41.928114579623774
521,7/29/2019,"2767 W Logan Blvd, Chicago, IL",2,-87.69692166649646,41.92811384815003
522,4/6/2022,"2786 W Lunt Ave, Chicago, IL",1,-87.69935564671425,42.00855182577687
523,10/7/2019,"2779 W Morse Ave, Chicago, IL",3,-87.69920665121087,42.00658506581862
524,7/27/2021,"2748 W Nelson St, Chicago, IL",5,-87.696989,41.936744
525,8/20/2019,"2763 W Wilson Ave, Chicago, IL",2,-87.69851361576363,41.9645742
526,11/13/2019,"2898 N Lawndale, Chicago, IL",3,-87.7183883,41.8600324
528,1/21/2022,"2874 N Richmond St, Chicago, IL",3,-87.7014448002672,41.933449031692604
529,11/2/2016,"2859 N Ridgeway Ave, Chicago, IL",2,-87.72077746127557,41.933034372770216
530,4/28/2017,"2834 N Ridgeway Ave, Chicago, IL",2,-87.72112175000001,41.932925850000004
534,9/20/2021,"2873 S Poplar Ave, Chicago, IL",2,-87.649903,41.841653
535,10/25/2021,"2858 W 103rd Pl, Chicago, IL",4,-87.6258729,41.7062288
536,6/4/2021,"2824 W 38Th St, Chicago, IL",2,-87.69602913749443,41.824667900662284
537,10/29/2021,"2891 W Balmoral Ave, Chicago, IL",1,-87.70118504043295,41.979374757512836
538,9/6/2019,"2849 W Chase Ave, Chicago, IL",3,-87.70201982524102,42.01355905
541,6/10/2021,"2816 W Division St, Chicago, IL",2,-87.69757185759666,41.90300147454045
542,8/4/2021,"2876 W Division St, Chicago, IL",2,-87.69960809662665,41.90298289116377
543,11/30/2021,"2832 W Eastwood Ave, Chicago, IL",4,-87.69963361788146,41.965879799999996
545,9/14/2021,"2844 W Greenleaf Ave, Chicago, IL",3,-87.70084570338514,42.00942117619273
546,3/29/2022,"2861 W Gregory St, Chicago, IL",2,-87.70081263293818,41.98211653644643
547,10/14/2021,"2816 W Leland Ave, Chicago, IL",3,-87.69985226182571,41.96677903141279
548,2/3/2022,"2894 W Nelson St, Chicago, IL",2,-87.69997200550497,41.936726934590375
549,7/16/2021,"2821 W Rascher Ave, Chicago, IL",1,-87.69996749424413,41.980175450000004
550,9/24/2021,"2929 E 101St St, Chicago, IL",2,-87.55144257142858,41.711759
551,5/21/2021,"2994 E 89Th St, Chicago, IL",2,-87.55222635079245,41.733801685352965
552,9/30/2021,"2940 N Woodard St, Chicago, IL",2,-87.71029175759149,41.9349268
553,2/9/2022,"2937 N Burling St, Chicago, IL",2,-87.64770821857661,41.93486513892627
554,2/3/2022,"2981 N Kildare Ave, Chicago, IL",2,-87.73477440825424,41.93501450278603
555,10/21/2021,"2990 N Lowell Ave, Chicago, IL",2,-87.73600876458957,41.9350972905555
556,11/17/2020,"2924 N Luna Ave, Chicago, IL",3,-87.76539621937269,41.933929199999994
557,11/10/2020,"2933 N Melvina Ave, Chicago, IL",4,-87.78080001301174,41.9335408968582
558,7/30/2021,"2936 N Nora Ave, Chicago, IL",2,-87.8021010542821,41.933319283562234
560,11/15/2021,"2973 N Racine Ave, Chicago, IL",2,-87.65871468961673,41.935802998885364
561,9/21/2021,"2922 N Richmond St, Chicago, IL",5,-87.70189960058141,41.934638449999994
562,10/5/2021,"2994 N Sacramento Ave, Chicago, IL",2,-87.70249833155276,41.93556749560934
563,11/29/2021,"2973 N Sacramento Ave, Chicago, IL",1,-87.70249668636558,41.93547298480303
564,1/6/2020,"2954 N Spaulding Ave, Chicago, IL",3,-87.71019391805012,41.935465300000004
565,2/1/2022,"2941 N Talman Ave, Chicago, IL",2,-87.6937223754812,41.935170400000004
567,10/15/2016,"2934 N Troy St, Chicago, IL",1,-87.70637740629994,41.934534829947545
570,7/23/2021,"2981 S Haynes Ct, Chicago, IL",2,-87.65690678571428,41.839517
571,10/7/2019,"2972 W 39Th Pl, Chicago, IL",2,-87.69883649535049,41.82188127643814
572,12/16/2021,"2917 W Balmoral Ave, Chicago, IL",2,-87.7022487996954,41.97936834895925
573,9/15/2018,"2929 W Belden Ave, Chicago, IL",2,-87.70104285044232,41.9230522
575,10/6/2016,"2996 W Catalpa Ave, Chicago, IL",5,-87.7042869790454,41.981346251260256
576,2/24/2017,"2996 W Catalpa Ave, Chicago, IL",2,-87.7042869790454,41.981346251260256
578,12/15/2021,"2918 W Giddings St, Chicago, IL",3,-87.7016868028459,41.967852050000005
579,8/15/2019,"2942 W Giddings St, Chicago, IL",2,-87.70167942423983,41.96767685242033
580,9/22/2021,"2946 W Leland Ave, Chicago, IL",2,-87.70238578792605,41.966757239684455
582,3/24/2022,"2958 W Pratt Blvd, Chicago, IL",3,-87.70393612386276,42.004851177369865
584,10/20/2021,"294 E 87Th St, Chicago, IL",3,-87.61797944521683,41.7365329978621
585,9/5/2019,"215 E 90Th Pl, Chicago, IL",3,-87.6183018389053,41.72988665
586,3/10/2022,"3093 E 79Th Pl, Chicago, IL",2,-87.54953471198561,41.75096435122242
587,7/28/2021,"3056 N Christiana Ave, Chicago, IL",2,-87.71130611310693,41.93668229824104
589,11/18/2021,"3065 N Kenneth Ave, Chicago, IL",2,-87.73807295752754,41.93645154146248
591,1/25/2022,"3019 N Linder Ave, Chicago, IL",2,-87.7636588,41.93558575
592,1/17/2020,"3017 N Lowell Ave, Chicago, IL",3,-87.73563286610786,41.9358981
593,8/3/2021,"3060 N Mango Ave, Chicago, IL",2,-87.77016213003142,41.93596514169513
596,8/14/2018,"3018 S Farrell St, Chicago, IL",1,-87.6517042490618,41.839061634439375
597,5/31/2018,"3026 W Belden Ave, Chicago, IL",2,-87.70340119882934,41.92354520000001
598,2/5/2020,"3087 W Chase Ave, Chicago, IL",2,-87.70636193660182,42.013652660531775
600,6/2/2021,"3036 W Fulton Blvd, Chicago, IL",1,-87.7038233,41.8864529
601,9/18/2017,"3058 W Warren Blvd, Chicago, IL",5,-87.6693297,41.8823549
602,12/17/2021,"3118 N Bernard St, Chicago, IL",3,-87.71395818974963,41.9380447
603,12/6/2021,"3155 N Clifton Ave, Chicago, IL",1,-87.657853625,41.93955014583334
604,10/1/2019,"3120 N Oconto Ave, Chicago, IL",5,-87.80821859249806,41.93698975
605,9/15/2016,"3129 N Osceola Ave, Chicago, IL",5,-87.81269577370415,41.93664715940656
606,12/7/2019,"3151 N Richmond St, Chicago, IL",3,-87.70135445022771,41.937998890696086
607,11/9/2018,"3191 N Seminary Ave, Chicago, IL",1,-87.6564208,41.939716600000004
609,9/22/2018,"3147 S Kedvale Ave, Chicago, IL",3,-87.72770655716982,41.83547275
610,3/9/2020,"3169 S Pulaski Rd, Chicago, IL",5,-87.72421083302082,41.83558463298104
611,8/29/2019,"3116 W 103rd St, Chicago, IL",1,-87.69964980538782,41.70628093893951
612,11/5/2016,"3164 W 103rd St, Chicago, IL",4,-87.70047149652358,41.706275665821124
613,2/24/2020,"3154 W Jarlath St, Chicago, IL",2,-87.70780519244595,42.01287773242485
615,9/10/2021,"3299 N Avers Ave, Chicago, IL",5,-87.723446,41.940383
616,10/8/2019,"3298 N Nottingham Ave, Chicago, IL",5,-87.804439,41.939725
617,9/1/2021,"3292 N Oketo Ave, Chicago, IL",2,-87.8115279122034,41.93952840254258
618,1/15/2020,"3260 N Plainfield Ave, Chicago, IL",3,-87.8337901974545,41.93879399814447
619,10/30/2019,"3255 S Carpenter, Chicago, IL",3,-87.7652474,41.9934168
620,7/16/2016,"3240 S Carpenter St, Chicago, IL",1,-87.65250250595027,41.83470265
621,8/10/2018,"3235 S Lituanica Ave, Chicago, IL",2,-87.6485334697081,41.835381833945284
622,8/27/2019,"3226 S Lowe Ave, Chicago, IL",3,-87.64282004811764,41.835457500000004
624,12/10/2021,"3211 S Union Ave, Chicago, IL",2,-87.64348919781321,41.835865
625,10/27/2019,"3289 W 112Th Pl, Chicago, IL",5,-87.70293920292107,41.68868315167377
626,9/13/2021,"3281 W 84Th Pl, Chicago, IL",1,-87.70411103557261,41.739640269633966
628,1/30/2020,"3316 N Kilpatrick Ave, Chicago, IL",4,-87.74422115186046,41.94125715
630,12/1/2021,"3362 N Newland Ave, Chicago, IL",2,-87.79961320708195,41.94103459149557
632,3/18/2020,"3373 N Olcott Ave, Chicago, IL",2,-87.81406994320459,41.94088475493982
634,9/20/2021,"3373 N Plainfield Ave, Chicago, IL",1,-87.83365128623623,41.94085040864616
635,3/2/2022,"3384 N Pulaski Rd, Chicago, IL",2,-87.727411,41.942981333333336
636,3/7/2019,"3345 N Ridgeway Ave, Chicago, IL",3,-87.7209140236111,41.9423484
637,5/18/2021,"3396 S Calumet Ave, Chicago, IL",2,-87.61827533504771,41.833244757528625
638,3/21/2022,"3357 S Lowe Ave, Chicago, IL",2,-87.6422049,41.832835849999995
639,9/27/2021,"3342 S May St, Chicago, IL",5,-87.65480558769121,41.833934054082675
640,5/14/2019,"3318 S Paulina St, Chicago, IL",2,-87.66812542204435,41.833016615640936
642,9/9/2016,"3454 N Avers Ave, Chicago, IL",1,-87.72394704999999,41.94440485
643,5/31/2017,"3463 N Hamilton Ave, Chicago, IL",2,-87.68201645365465,41.94446765758504
645,1/26/2017,"3414 N Kildare Ave, Chicago, IL",2,-87.73479863279239,41.942983311695905
646,9/15/2018,"3411 N Kildare Ave, Chicago, IL",4,-87.7344126192857,41.943019899999996
647,8/1/2021,"3466 N Neva Ave, Chicago, IL",4,-87.80579249397653,41.94282934367649
648,3/11/2017,"3492 N Opal Ave, Chicago, IL",1,-87.82294267478453,41.942904554037234
649,5/20/2017,"3450 N Pacific Ave, Chicago, IL",1,-87.82681175506497,41.942595499999996
650,8/24/2017,"3412 N Pacific Ave, Chicago, IL",1,-87.82679941365555,41.941615049999996
651,3/6/2018,"3470 N Pacific Ave, Chicago, IL",2,-87.82663741442866,41.94245873428795
652,9/13/2018,"3484 N Pacific Ave, Chicago, IL",2,-87.82664801747909,41.9426948758005
653,11/21/2018,"3426 N Pacific Ave, Chicago, IL",3,-87.82660421232836,41.941716569692765
654,12/17/2018,"3450 N Pacific Ave, Chicago, IL",3,-87.82681175506497,41.942595499999996
655,3/25/2019,"3441 N Pacific Ave, Chicago, IL",2,-87.82639472998267,41.94195767020086
656,12/19/2019,"3445 N Panama Ave, Chicago, IL",2,-87.82884979681914,41.942394534468576
657,9/30/2019,"3448 N Tripp Ave, Chicago, IL",2,-87.73378352144039,41.9440911
658,10/1/2021,"3414 N Tripp Ave, Chicago, IL",5,-87.73376446678782,41.943198949999996
659,6/9/2021,"3416 N Tripp Ave, Chicago, IL",5,-87.73357144438582,41.943016478295476
660,1/31/2020,"3499 S Aberdeen St, Chicago, IL",4,-87.653325,41.832135
661,2/28/2022,"3481 S Hermitage Ave, Chicago, IL",2,-87.66908444985484,41.83124773796021
662,6/4/2021,"3497 S Paulina St, Chicago, IL",1,-87.66784614990699,41.830606720210135
663,12/20/2016,"3473 S Union Ave, Chicago, IL",5,-87.64358246357297,41.83167690191216
664,9/25/2019,"3418 W 115Th St, Chicago, IL",2,-87.70597288031331,41.68425794869862
665,6/19/2019,"3490 W 116Th St, Chicago, IL",4,-87.70744966770945,41.682413127559144
666,11/13/2017,"3446 W 66Th Pl, Chicago, IL",2,-87.7089838823506,41.77259404936329
667,4/1/2021,"3465 W 82Nd Pl, Chicago, IL",1,-87.70883928890943,41.7432238460328
668,1/25/2022,"3492 W Beach Ave, Chicago, IL",3,-87.71397644545247,41.90738179725876
669,8/17/2021,"3483 W Beach Ave, Chicago, IL",5,-87.71375753004317,41.907219204754355
670,8/16/2021,"3418 W Hirsch St, Chicago, IL",3,-87.71267403957589,41.9066348
671,3/9/2020,"3462 W Medill Ave, Chicago, IL",1,-87.7132494432475,41.92381993095681
672,2/13/2020,"3446 W Melrose St, Chicago, IL",5,-87.71445461213983,41.940369950000004
673,10/7/2021,"3497 W Monroe St, Chicago, IL",2,-87.71334873408597,41.87948052130607
674,12/16/2019,"3443 W Wrightwood Ave, Chicago, IL",3,-87.71369123553843,41.928215
675,8/22/2019,"3551 N Damen Ave, Chicago, IL",1,-87.6784048,41.9467343
676,7/20/2018,"3551 N Kolmar Ave, Chicago, IL",4,-87.74079429239812,41.94508472126468
677,2/27/2019,"3531 N Kolmar Ave, Chicago, IL",4,-87.74061211171875,41.94535175
680,1/21/2020,"3517 N Oriole Ave, Chicago, IL",2,-87.81641788942902,41.9438369
681,10/26/2019,"3523 N Ozark Ave, Chicago, IL",3,-87.82029558700869,41.943599636083206
682,1/31/2020,"3576 N Seeley Ave, Chicago, IL",1,-87.67985183076406,41.94600394443658
685,8/10/2018,"3579 S Hoyne Ave, Chicago, IL",2,-87.67757185607141,41.82889802418305
686,8/3/2019,"3590 W 53Rd Pl, Chicago, IL",5,-87.6476654,41.7968998
687,11/10/2021,"3589 W 72Nd St, Chicago, IL",2,-87.71189497688025,41.76234379734015
688,11/22/2021,"3545 W 73Rd St, Chicago, IL",2,-87.71104304066101,41.76053186683897
689,4/15/2022,"3590 W 73Rd St, Chicago, IL",2,-87.71192525812563,41.76068366023777
690,2/10/2022,"3579 W 77Th Pl, Chicago, IL",3,-87.71171976785715,41.75248035714286
691,1/28/2020,"3540 W Congress Pkwy, Chicago, IL",2,-87.71448304579374,41.8747104
692,8/2/2018,"3550 W Evergreen Ave, Chicago, IL",3,-87.71631095000001,41.905661550000005
693,3/5/2020,"3581 W Hirsch St, Chicago, IL",1,-87.71612689874966,41.90629657690269
694,2/17/2022,"3538 W Melrose St, Chicago, IL",3,-87.71605475051352,41.940349299999994
695,1/26/2022,"3554 W Pierce Ave, Chicago, IL",5,-87.71662019732219,41.909268
696,2/15/2019,"3598 W Pierce Ave, Chicago, IL",2,-87.716609,41.909154
697,1/14/2017,"3560 W Pierce Ave, Chicago, IL",2,-87.71578849828191,41.90916308789573
698,8/28/2019,"3626 N Artesian Ave, Chicago, IL",4,-87.68976396829733,41.94756495
700,9/1/2021,"3618 N Christiana Ave, Chicago, IL",5,-87.71162199999374,41.94717199976279
701,3/4/2020,"3616 N Harding Ave, Chicago, IL",1,-87.72644629977373,41.94695375
702,10/1/2018,"3684 N Kimball Ave, Chicago, IL",5,-87.7128665485615,41.94804159398494
703,10/13/2021,"3615 N Sacramento Ave, Chicago, IL",4,-87.70283154541684,41.94725454417267
704,1/31/2022,"3657 N Sacramento Ave, Chicago, IL",2,-87.70270065,41.94836115
705,2/10/2020,"3676 N Tripp Ave, Chicago, IL",2,-87.73390040999216,41.94763488918386
708,7/27/2016,"3642 S Winchester Ave, Chicago, IL",5,-87.67411839765485,41.82777783865657
710,5/16/2016,"3620 W 115Th St, Chicago, IL",2,-87.71105399590257,41.684182069501354
711,2/23/2022,"3686 W 117Th St, Chicago, IL",4,-87.71225828764454,41.68050728844629
712,1/27/2020,"3640 W 79Th Pl, Chicago, IL",2,-87.71321675515249,41.748808237583546
713,6/11/2018,"3689 W 79Th Pl, Chicago, IL",2,-87.71419003316078,41.74862806763921
714,12/20/2017,"3671 W 86Th St, Chicago, IL",4,-87.7135008616502,41.73673970411571
715,7/28/2021,"3665 W Wrightwood Ave, Chicago, IL",2,-87.71890951200714,41.92814868766109
716,12/1/2021,"3665 W Wrightwood Ave, Chicago, IL",2,-87.71890951200714,41.92814868766109
717,9/17/2019,"3748 N Bell Ave, Chicago, IL",2,-87.68498911180076,41.9500497
718,7/22/2019,"3752 N Lawndale, Chicago, IL",5,-87.7183883,41.8600324
720,11/26/2016,"3775 N Olcott Ave, Chicago, IL",2,-87.81433732981812,41.948172837350164
722,11/29/2019,"3775 N Plainfield Ave, Chicago, IL",4,-87.83398874477993,41.947954532491856
725,9/18/2019,"3721 N Whipple St, Chicago, IL",1,-87.70397027479305,41.94915435
