,Date.Sampled,Address,HCluster,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,longitude,latitude,raw_address,place_id
13,8/26/2016,"10336 S St Louis Ave, Chicago, IL",2,0.5,0.5,2.34,2.35,5.64,12.3,13.4,12.7,12.0,10.3,6.93,-87.70886206964389,41.70536426984029,"{'house_number': '10322', 'road': 'South Saint Louis Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",143984566
14,7/25/2016,"10391 S Vernon Ave, Chicago, IL",1,3.49,3.3,3.32,5.7,3.9,4.56,5.3,5.5,7.27,7.67,9.34,-87.61239527306569,41.70572468031627,"{'house_number': '10355', 'road': 'South Vernon Avenue', 'neighbourhood': 'Roseland', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60628', 'country': 'United States', 'country_code': 'us'}",155754265
15,3/10/2022,"10493 S Avenue F, Chicago, IL",2,8.3,10.0,13.0,9.1,7.7,6.6,9.0,12.0,14.0,17.0,16.0,-87.530342,41.704769285714285,"{'house_number': '10455', 'road': 'South Avenue F', 'neighbourhood': 'East Side', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60617', 'country': 'United States', 'country_code': 'us'}",156019087
16,3/2/2019,"10410 S Avenue J, Chicago, IL",2,4.58,13.0,16.9,17.0,17.2,17.8,12.9,26.8,22.6,17.7,12.7,-87.534189,41.70610467325768,"{'house_number': '10406', 'road': 'South Avenue J', 'neighbourhood': 'East Side', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60617', 'country': 'United States', 'country_code': 'us'}",157295128
17,9/14/2021,"10468 S Rhodes Ave, Chicago, IL",3,4.5,6.6,7.5,7.8,7.6,9.4,13.0,13.0,11.0,11.0,12.0,-87.61012988529927,41.70413282149982,"{'house_number': '10448', 'road': 'South Rhodes Avenue', 'neighbourhood': 'Roseland', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60628', 'country': 'United States', 'country_code': 'us'}",156075812
18,11/1/2021,"10447 S Springfield Ave, Chicago, IL",3,3.23,3.55,5.96,7.79,8.29,10.7,19.3,19.7,17.8,17.0,14.5,-87.7182384861348,41.70322482927981,"{'house_number': '10427', 'road': 'South Springfield Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144309851
19,1/13/2017,"10446 S Trumbull Ave, Chicago, IL",2,7.16,13.3,12.0,10.4,10.3,10.4,9.3,8.34,8.63,8.2,0.5,-87.70762973177496,41.7029008,"{'house_number': '10446', 'road': 'South Trumbull Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",143685072
20,10/10/2019,"10532 S Central Park Ave, Chicago, IL",4,4.35,3.59,3.55,3.6,8.56,15.5,18.7,18.0,15.0,14.2,1.7,-87.71126882604533,41.70137365,"{'house_number': '10532', 'road': 'South Central Park Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",143861146
21,12/13/2017,"10580 S Christiana Ave, Chicago, IL",5,3.06,5.82,7.08,7.13,7.28,6.7,8.22,10.6,15.0,17.2,15.8,-87.70504682780086,41.700323357262064,"{'house_number': '10604', 'road': 'South Christiana Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144714706
22,4/25/2018,"10588 S Christiana Ave, Chicago, IL",2,2.16,6.16,6.46,7.69,8.33,8.71,8.88,10.1,10.1,9.85,7.9,-87.70504460596833,41.700261841164505,"{'house_number': '10608', 'road': 'South Christiana Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144041209
23,10/29/2019,"10599 S Homan Ave, Chicago, IL",4,5.43,5.43,5.61,5.82,5.25,9.74,11.4,12.2,12.6,12.7,13.7,-87.70591718115197,41.70042391623456,"{'house_number': '10605', 'road': 'South Homan Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60803', 'country': 'United States', 'country_code': 'us'}",144578675
24,3/13/2020,"10546 S Kedzie Ave, Chicago, IL",1,5.35,6.02,6.93,14.5,20.2,21.9,20.1,18.4,16.9,15.0,12.8,-87.70128203318218,41.70135735293234,"{'house_number': '10540', 'road': 'South Kedzie Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144280695
25,11/4/2021,"10528 S Kedzie Ave, Chicago, IL",2,9.65,14.2,12.1,13.5,17.0,17.4,16.6,15.9,15.9,15.5,12.3,-87.70129758040514,41.70180167093904,"{'house_number': '10524', 'road': 'South Kedzie Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144535108
26,10/8/2019,"10572 S Oakley Ave, Chicago, IL",1,10.6,15.6,15.8,20.4,22.2,21.4,21.9,21.9,19.6,21.6,20.7,-87.67913334983116,41.70147189313365,"{'house_number': '10540', 'road': 'South Oakley Avenue', 'suburb': 'Beverly', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60643', 'country': 'United States', 'country_code': 'us'}",155416601
27,8/30/2021,"10597 S Seeley Ave, Chicago, IL",2,4.41,4.53,4.89,4.21,4.68,5.29,6.13,7.05,8.52,9.3,8.52,-87.67274971398942,41.7011686347089,"{'house_number': '10555', 'road': 'South Seeley Avenue', 'suburb': 'Beverly', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60643', 'country': 'United States', 'country_code': 'us'}",155403412
28,10/19/2021,"10614 S Church St, Chicago, IL",2,2.71,5.26,10.1,11.4,12.7,12.5,12.3,11.2,10.7,9.07,6.32,-87.66048126241512,41.70079485,"{'house_number': '10614', 'road': 'South Church Street', 'suburb': 'Beverly', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60643', 'country': 'United States', 'country_code': 'us'}",155946647
29,9/10/2019,"10636 S Drake Ave, Chicago, IL",4,4.17,3.63,4.17,5.19,13.7,18.7,17.1,15.2,16.4,16.9,15.3,-87.70978036750277,41.6998774467478,"{'house_number': '10620', 'road': 'South Drake Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144143739
30,11/30/2021,"10619 S Eberhart Ave, Chicago, IL",5,14.0,14.1,14.3,14.1,14.1,14.1,13.1,11.4,14.7,26.2,26.6,-87.61105702325197,41.70154437528225,"{'house_number': '10609', 'road': 'South Eberhart Avenue', 'neighbourhood': 'Roseland', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60628', 'country': 'United States', 'country_code': 'us'}",157081374
31,12/3/2019,"10612 S Normal Ave, Chicago, IL",2,7.05,8.7,8.74,9.0,9.32,10.5,10.7,10.5,10.7,10.8,7.42,-87.63568510935914,41.70111315,"{'house_number': '10612', 'road': 'South Normal Avenue', 'neighbourhood': 'Roseland', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60628', 'country': 'United States', 'country_code': 'us'}",157394096
32,6/15/2021,"10716 S Buffalo Ave, Chicago, IL",3,10.7,8.75,7.21,10.3,15.0,19.7,16.6,15.0,14.9,16.0,3.6,-87.54388805236789,41.7005723420007,"{'house_number': '10708', 'road': 'South Buffalo Avenue', 'neighbourhood': 'East Side', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60617', 'country': 'United States', 'country_code': 'us'}",155989998
33,10/5/2016,"10763 S Spaulding Ave, Chicago, IL",1,2.67,2.53,3.76,7.81,9.67,13.2,17.1,18.6,19.5,15.7,8.67,-87.70339471428572,41.69826518367347,"{'house_number': '10720', 'road': 'South Spaulding Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144544236
34,6/21/2021,"10743 S Wallace St, Chicago, IL",4,2.79,5.03,5.34,3.99,4.03,4.09,4.38,8.2,10.9,11.0,1.44,-87.63741749505343,41.69841195,"{'house_number': '10743', 'road': 'South Wallace Street', 'neighbourhood': 'Roseland', 'suburb': 'West Pullman', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60628', 'country': 'United States', 'country_code': 'us'}",156334497
35,12/19/2019,"10894 S Avenue F, Chicago, IL",1,2.03,2.19,3.48,3.6,3.29,3.28,4.44,6.96,8.1,6.9,6.38,-87.53056573160885,41.6974538770917,"{'house_number': '10852', 'road': 'South Avenue F', 'neighbourhood': 'East Side', 'suburb': 'Hegewisch', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '46394', 'country': 'United States', 'country_code': 'us'}",156066499
36,9/4/2019,"10881 S Central Park Ave, Chicago, IL",3,6.56,6.92,7.91,17.5,17.8,12.7,11.0,11.4,11.9,11.3,7.73,-87.71062274775302,41.69548793708432,"{'house_number': '10847', 'road': 'South Central Park Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144385818
37,2/22/2020,"10845 S Drake Ave, Chicago, IL",5,10.8,6.76,5.44,5.52,9.67,15.6,20.7,23.4,23.1,21.6,8.47,-87.70943712767415,41.6960853195277,"{'house_number': '10825', 'road': 'South Drake Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144945261
38,12/6/2021,"10849 S Eggleston Ave, Chicago, IL",2,2.88,3.62,3.17,3.17,2.74,3.42,4.1,5.05,8.34,7.76,6.32,-87.6337743536434,41.6964817,"{'house_number': '10849', 'road': 'South Eggleston Avenue', 'neighbourhood': 'Roseland', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60628', 'country': 'United States', 'country_code': 'us'}",155756454
39,1/28/2020,"10882 S Green St, Chicago, IL",2,0.5,0.5,1.05,0.5,1.85,2.44,1.75,3.6,5.13,2.86,0.5,-87.64383253375097,41.696361662304696,"{'house_number': '10848', 'road': 'South Green Street', 'suburb': 'Morgan Park', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60643', 'country': 'United States', 'country_code': 'us'}",155710542
40,3/2/2022,"10822 S Hamlin Ave, Chicago, IL",2,2.47,3.57,3.91,3.92,3.83,3.87,3.91,3.82,3.65,3.47,3.0,-87.71574662374273,41.696335726178056,"{'house_number': '10816', 'road': 'South Hamlin Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",143547100
41,9/3/2019,"10821 S Prospect Ave, Chicago, IL",2,3.42,3.98,7.03,6.6,6.12,5.22,4.56,4.37,4.42,4.26,3.45,-87.662979863461,41.69680535246711,"{'house_number': '10817', 'road': 'South Prospect Avenue', 'suburb': 'Morgan Park', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60643', 'country': 'United States', 'country_code': 'us'}",156720111
42,5/28/2021,"10819 S Vernon Ave, Chicago, IL",5,2.76,3.46,4.1,4.22,4.26,4.61,4.85,4.78,4.89,4.72,6.47,-87.61199295258493,41.69757075,"{'house_number': '10819-10821', 'road': 'South Vernon Avenue', 'neighbourhood': 'Roseland', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60628', 'country': 'United States', 'country_code': 'us'}",155789477
43,1/24/2020,"10930 S Lawndale Ave, Chicago, IL",2,3.77,3.18,3.43,3.33,3.16,3.12,3.05,3.04,2.85,3.13,3.01,-87.71327790970592,41.694422628626455,"{'house_number': '10920', 'road': 'South Lawndale Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",144084657
44,6/24/2021,"10980 S Morgan St, Chicago, IL",5,2.36,3.32,6.14,6.93,15.0,11.1,9.82,12.5,11.6,13.3,11.0,-87.64742108327971,41.69442717893775,"{'house_number': '10952', 'road': 'South Morgan Street', 'suburb': 'Morgan Park', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60643', 'country': 'United States', 'country_code': 'us'}",155620201
45,11/5/2019,"1094 N Central Park Ave, Chicago, IL",2,5.63,6.92,7.66,9.01,9.9,11.1,13.2,13.3,13.1,12.8,13.3,-87.71660059645244,41.90074063833747,"{'house_number': '1048', 'road': 'North Central Park Avenue', 'suburb': 'Humboldt Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60651', 'country': 'United States', 'country_code': 'us'}",143629881
46,2/7/2020,"1046 N Damen Ave, Chicago, IL",2,3.22,1.54,1.44,1.55,1.59,1.55,1.37,1.32,1.19,1.08,0.822,-87.67729871216301,41.90074254192253,"{'house_number': '1038', 'road': 'North Damen Avenue', 'neighbourhood': 'Ukrainian Village', 'suburb': 'West Town', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60625', 'country': 'United States', 'country_code': 'us'}",155753798
47,10/9/2019,"1069 N Massasoit Ave, Chicago, IL",2,18.9,60.8,6.63,4.86,4.47,4.44,3.91,4.04,3.74,3.56,3.75,-87.76909963719403,41.89966423921772,"{'house_number': '1041', 'road': 'North Massasoit Avenue', 'police_beat': 'Beat 2531', 'suburb': 'Austin', 'city': 'Chicago', 'municipality': 'Jefferson Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60651', 'country': 'United States', 'country_code': 'us'}",143778384
48,9/1/2017,"1071 W 18Th St, Chicago, IL",3,8.39,6.07,6.79,6.97,7.32,9.59,9.29,9.7,13.1,12.3,4.42,-87.65247465041617,41.857925,"{'house_number': '1021', 'road': 'West 18th Street', 'neighbourhood': 'Pilsen', 'suburb': 'Lower West Side', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60608', 'country': 'United States', 'country_code': 'us'}",155647980
49,7/28/2017,"1029 W Dickens Ave, Chicago, IL",1,0.5,0.5,1.11,1.22,0.5,0.5,1.06,1.04,1.05,1.09,1.79,-87.654477,41.919825,"{'house_number': '1021', 'road': 'West Dickens Avenue', 'suburb': 'Lincoln Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60614', 'country': 'United States', 'country_code': 'us'}",156046922
50,10/5/2016,"11094 S Central Park Ave, Chicago, IL",1,11.8,12.1,10.4,14.2,17.4,14.6,10.7,16.5,21.3,16.0,11.7,-87.71070971497889,41.69203683670879,"{'house_number': '11040', 'road': 'South Central Park Avenue', 'suburb': 'Mount Greenwood', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60655', 'country': 'United States', 'country_code': 'us'}",143531723
51,1/21/2020,"11011 S Eberhart Ave, Chicago, IL",2,4.45,2.79,2.99,3.31,6.38,7.29,8.03,8.08,5.82,4.4,11.2,-87.61077961353492,41.6942489,"{'house_number': '11011', 'road': 'South Eberhart Avenue', 'neighbourhood': 'Roseland', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60628', 'country': 'United States', 'country_code': 'us'}",155783057
52,11/1/2021,"11033 S Homewood Ave, Chicago, IL",3,5.24,5.64,5.85,5.82,5.71,5.88,6.04,6.58,6.32,5.57,1.15,-87.668871,41.69306,"{'amenity': 'Chicago Fire Department Engine Company 120', 'house_number': '11035', 'road': 'South Homewood Avenue', 'suburb': 'Morgan Park', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60643', 'country': 'United States', 'country_code': 'us'}",156188221
53,2/2/2022,"11057 S Sangamon St, Chicago, IL",1,4.85,9.89,9.99,9.2,8.04,5.96,4.7,4.45,4.24,3.54,1.79,-87.64511941883879,41.693318041997685,"{'house_number': '11043', 'road': 'South Sangamon Street', 'suburb': 'Morgan Park', 'city': 'Chicago', 'municipality': 'Lake Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60643', 'country': 'United States', 'country_code': 'us'}",155567026
54,9/3/2021,"11149 S Avenue B, Chicago, IL",2,1.2,3.1,7.9,12.0,16.0,28.0,41.0,44.0,53.0,44.0,35.0,-87.52570943676378,41.69295767049076,"{'house_number': '11123', 'road': 'South Avenue B', 'neighbourhood': 'East Side', 'suburb': 'Hegewisch', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60617', 'country': 'United States', 'country_code': 'us'}",156303099
55,4/13/2019,"11123 S Avenue H, Chicago, IL",5,1.85,1.15,0.5,1.34,2.8,5.4,4.62,4.69,4.78,4.77,0.5,-87.532759,41.69274776804497,"{'amenity': 'Annunciata School', 'road': 'East 112th Street', 'neighbourhood': 'East Side', 'suburb': 'Hegewisch', 'city': 'Chicago', 'municipality': 'Hyde Park Township', 'county': 'Cook County', 'state': 'Illinois', 'ISO3166-2-lvl4': 'US-IL', 'postcode': '60617', 'country': 'United States', 'country_code': 'us'}",159253420
